Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD), Jobs
Australia,2008,Geothermal,22205.06938,43211.5938,636188589.2,945074
Australia,2020,Hydro,3386.115429,39711.89794,3891812730,18034
Australia,2009,Solar,40218.0112,42993.53095,338009756.2,526963
Australia,2011,Hydro,73276.90216,4324.06064,1638287454,312699
Australia,2014,Hydro,11187.96725,34968.16407,1187775824,690794
Australia,2020,Biomass,64826.37821,46372.79941,413571722.8,742292
Australia,2012,Geothermal,40707.45577,39746.34776,4490880772,870560
Australia,2004,Geothermal,60887.52095,9321.264345,8882535249,754042
Australia,2003,Biomass,65260.5728,48971.7714,2364936806,239101
Australia,2015,Solar,57524.90213,19094.69076,2979810350,813456
Australia,2015,Hydro,89130.98016,1410.186416,3925354002,332601
Australia,2009,Solar,25606.69522,19959.07839,2320138534,394329
Australia,2013,Wind,57510.10471,46103.5638,8090497222,24681
Australia,2007,Solar,5411.835587,49435.01672,3678951442,143548
Australia,2001,Hydro,44314.46133,34848.18946,2971230108,371629
Australia,2011,Geothermal,65206.65944,4157.548913,7516378444,873178
Australia,2011,Geothermal,80366.40132,47416.36417,3486357746,114414
Australia,2007,Solar,38018.30247,22447.15257,6615517590,28415
Australia,2001,Hydro,45228.26478,37404.83395,4972536632,981100
Australia,2012,Wind,45640.26888,2335.814907,7294232700,116737
Australia,2013,Biomass,65533.5965,29206.63355,6223464899,38232
Australia,2000,Geothermal,55704.72827,29067.84074,2517783500,213998
Australia,2001,Solar,46472.75755,18686.58144,9633933561,976260
Australia,2005,Biomass,26459.16106,44580.59384,1303429737,583708
Australia,2013,Wind,97568.7945,49295.39282,6563240344,239923
Australia,2016,Solar,23401.02024,33118.53434,9509207589,479944
Australia,2001,Biomass,97065.01527,32766.2122,5294719311,885436
Australia,2012,Wind,24572.56095,30152.1549,4257694832,116423
Australia,2022,Hydro,57533.73401,36678.02716,8401335704,380977
Australia,2018,Biomass,66840.32752,35745.1991,6709843635,879033
Australia,2021,Wind,11047.94896,25212.34443,9002128295,483046
Australia,2004,Biomass,14325.3483,38289.19263,8716510274,984025
Australia,2011,Wind,69389.97586,44843.4633,1665280087,896222
Australia,2011,Solar,8250.397486,36886.64684,9153566536,817423
Australia,2016,Geothermal,6755.564197,29688.15028,3273011505,978162
Australia,2020,Biomass,40442.63656,40010.08968,850468874,367533
Australia,2010,Biomass,95524.34318,253.6869499,7898424967,161310
Australia,2006,Solar,95372.51882,38589.71676,9568547682,238777
Australia,2001,Solar,37882.71481,29915.0613,3175216832,275382
Australia,2009,Geothermal,49594.24918,26117.12566,1106594120,885484
Australia,2023,Hydro,39560.67933,2023.228089,3890745911,980158
Australia,2016,Biomass,69389.00207,48934.20331,9873145736,425355
Australia,2005,Biomass,19940.86353,34104.22766,6494242672,379077
Australia,2008,Wind,69640.14128,24074.53512,3394575035,753432
Australia,2011,Solar,48036.83591,15969.16425,4134075103,205777
Australia,2011,Geothermal,76030.2348,24050.62629,1138482229,426913
Australia,2011,Wind,39191.51602,19564.93836,7739032784,636166
Australia,2000,Hydro,92721.85586,26342.64803,6926365390,697049
Australia,2006,Solar,75874.1856,23122.04639,1898463817,450046
Australia,2019,Biomass,37528.66003,47903.96998,8092527773,974095
Australia,2013,Solar,15084.27244,43860.42754,8315987414,514968
Australia,2003,Biomass,94087.92489,39419.28891,1885040361,767227
Australia,2005,Geothermal,25262.74414,35627.94539,1050465847,437767
Australia,2004,Wind,61537.81803,16535.23848,6693958810,49809
Australia,2009,Biomass,3832.760612,26131.87082,4499298659,155438
Australia,2012,Geothermal,43673.62848,29774.70393,567720863.5,650021
Australia,2000,Biomass,43636.8811,19296.86617,6554377221,393848
Australia,2007,Geothermal,53801.69373,6784.631276,7017346211,849692
Australia,2015,Biomass,75734.9203,18252.53976,2285038122,911579
Australia,2003,Wind,99506.48639,2961.81379,7121396027,341759
Australia,2002,Geothermal,94113.03815,9520.757065,4950263479,77740
Australia,2013,Solar,23229.54141,20768.27751,8942912384,909492
Australia,2021,Geothermal,23348.04376,48024.42434,164313739.9,777569
Australia,2008,Geothermal,86965.28474,25312.39807,5324035677,974171
Australia,2010,Hydro,24298.48271,31724.79563,8416746928,237640
Australia,2020,Hydro,65362.89486,1447.615163,6541967743,168847
Australia,2007,Biomass,30522.43525,9057.727719,7461167474,713616
Australia,2023,Biomass,85410.08182,23857.82954,2167936458,854788
Australia,2020,Solar,57717.43184,23810.58108,3966065013,518296
Australia,2022,Geothermal,11212.18822,18440.64892,4054269185,695589
Australia,2002,Hydro,66032.43861,31817.9115,3813039172,699606
Australia,2018,Solar,13348.85418,739.4926073,3325289016,194908
Australia,2000,Geothermal,34127.01695,20430.12949,8095328507,728301
Australia,2016,Hydro,87130.29373,11164.11386,7596562216,834817
Australia,2015,Biomass,15042.8999,12148.92516,9426153986,507812
Australia,2012,Geothermal,90031.21939,20910.50625,1823410586,828687
Australia,2002,Hydro,19864.02108,18710.20571,4790213384,772425
Australia,2016,Hydro,85207.73674,21285.12286,8450689086,114184
Australia,2014,Solar,48700.98317,12732.10795,5889484300,77608
Australia,2014,Solar,76206.43605,46159.42521,6076505592,773876
Australia,2009,Wind,56320.75906,30999.31348,6159278135,96966
Australia,2002,Solar,67484.50838,32816.52027,8145434514,144097
Australia,2015,Solar,85033.17204,42555.23286,6527130863,856094
Australia,2001,Wind,35556.23172,7081.482047,3167697334,107598
Australia,2020,Geothermal,3093.387858,2696.925673,214464465.6,622463
Australia,2018,Biomass,47913.76726,32559.55444,8964268394,121578
Australia,2014,Geothermal,80403.73796,38251.1412,2838086070,717598
Australia,2013,Solar,2862.658409,49079.81605,5298298439,822701
Australia,2014,Geothermal,60738.47257,27191.87136,162103188.4,978147
Australia,2011,Wind,66309.78375,24848.71719,8665725402,986333
Australia,2002,Biomass,38314.8892,34763.38991,3158583110,365174
Australia,2004,Geothermal,44919.29851,7846.765176,1621523198,542873
Australia,2002,Hydro,58377.83942,45309.25027,6319616298,539338
Australia,2010,Solar,8858.042049,26949.85397,1698919613,789379
Australia,2000,Wind,65564.31374,15351.43709,4138285781,465073
Australia,2008,Biomass,74876.0712,12543.45251,3455866137,914253
Australia,2023,Wind,20227.85066,7728.210056,702672886.8,886880
Australia,2003,Hydro,60951.15697,37042.0766,9386500423,369546
Australia,2021,Biomass,53418.28724,44644.32914,1210280300,568404
Australia,2008,Wind,32167.98754,13077.79408,9685416619,191089
Australia,2022,Hydro,8718.176354,42759.4128,2867627937,926727
Australia,2021,Geothermal,33894.13451,40231.86771,1850869429,514984
Australia,2023,Geothermal,30625.75258,31181.48006,8733782711,692344
Australia,2005,Biomass,81527.83273,17485.60446,1029600540,483564
Australia,2001,Wind,84579.902,5998.044709,4501265119,353268
Australia,2023,Solar,23915.58713,37023.91018,7203528005,1641
Australia,2003,Geothermal,58251.60225,31181.72082,2850111385,568155
Australia,2011,Hydro,40907.84962,1776.00356,458414532.4,662068
Australia,2018,Geothermal,42554.21417,26656.2929,8133366531,994832
Australia,2021,Wind,74291.93306,3398.269534,7473316466,741764
Australia,2013,Geothermal,29950.96288,25157.26262,8638699395,134331
Australia,2014,Geothermal,51271.5549,18927.67215,448458828.8,236699
Australia,2020,Wind,86512.47626,35970.04811,9686082835,14733
Australia,2020,Biomass,14452.19129,47219.15288,5107292605,148493
Australia,2023,Wind,92501.54231,6302.24446,4431028553,517649
Australia,2009,Biomass,66008.07011,13134.44875,336495897.2,403964
Australia,2020,Wind,69802.3687,49704.58305,2021269078,703378
Australia,2019,Biomass,1862.566723,19631.59347,2688363373,93612
Australia,2010,Wind,56645.95368,3276.122026,1381557828,485637
Australia,2006,Hydro,6177.702873,415.3914775,4601006768,731293
Australia,2003,Biomass,77408.69725,33998.34602,508485057.6,543604
Australia,2006,Geothermal,37892.93186,36216.12025,6441563353,802834
Australia,2013,Hydro,53614.15828,22871.9696,2524816959,167567
Australia,2005,Wind,29670.89675,15484.85938,1307394044,907533
Australia,2015,Geothermal,25269.19839,35368.28053,1399588080,368843
Australia,2020,Wind,35205.86967,29966.39256,1568387415,328788
Australia,2012,Biomass,81789.65251,10098.54842,7747449970,21173
Australia,2020,Hydro,49566.20622,14734.92299,7653254567,680475
Australia,2015,Solar,60764.17075,42532.60311,3858092761,246136
Australia,2015,Hydro,30718.68104,9506.237148,8396414497,284055
Australia,2011,Wind,70539.829,7540.054443,9734031095,703993
Australia,2019,Hydro,58587.62155,1709.842381,4475583460,574356
Australia,2018,Hydro,47184.9493,8674.806429,2543032969,748049
Australia,2009,Geothermal,59459.8155,43504.78216,7616736227,588695
Australia,2009,Hydro,84381.09712,47331.4718,7626697712,4853
Australia,2018,Geothermal,85016.67859,42968.21815,9264851813,53772
Australia,2010,Wind,32368.27465,46429.13174,1264753930,848717
Australia,2004,Hydro,23917.29536,19790.10362,346565924.8,97001
Australia,2016,Biomass,58832.12287,20646.27607,2998789180,850520
Australia,2022,Geothermal,53290.46753,44041.86063,6692235993,758112
Australia,2011,Hydro,60804.97396,15249.95248,3407586690,711151
Australia,2022,Geothermal,79039.48773,424.6644912,919814863.7,996590
Australia,2004,Geothermal,85082.23039,24844.4063,3262353357,576981
Australia,2001,Hydro,86644.62577,35982.03797,9217238165,743607
Australia,2011,Solar,83460.6155,31003.98533,3129401155,798692
Australia,2023,Wind,28351.90286,42701.98485,1777959772,323649
Australia,2017,Geothermal,1643.901168,5007.678493,6519987462,250347
Australia,2016,Solar,13527.05171,28020.5336,1863720499,307009
Australia,2023,Biomass,29220.23902,34540.47696,5790696717,549671
Australia,2011,Geothermal,34354.89755,42898.6807,5520610665,473467
Australia,2017,Geothermal,55443.52574,38576.58537,4482674198,297450
Australia,2010,Geothermal,24073.32784,14344.91206,3067672684,98158
Australia,2007,Wind,82303.45594,13671.90045,2952536192,255363
Australia,2007,Hydro,59493.18058,13513.11749,232934346,387819
Australia,2008,Biomass,12028.10349,25614.87167,3062369475,528077
Australia,2018,Wind,44617.09278,40684.21346,1782731443,985753
Australia,2004,Geothermal,16853.92064,29513.48018,445211380,179230
Australia,2002,Solar,22026.00263,42339.07613,7344065462,863105
Australia,2002,Geothermal,24342.16836,4915.950944,5340339581,431968
Australia,2006,Wind,61007.89942,35500.28447,6321123877,965154
Australia,2000,Hydro,19480.71504,14951.5605,8927253140,594834
Australia,2000,Geothermal,56719.64438,6854.806227,9874372882,562615
Australia,2015,Solar,36686.87484,6675.5254,9199815200,857159
Australia,2006,Wind,8664.077536,40044.51382,473388340,211551
Australia,2003,Wind,51379.2776,38762.45586,4161960357,112289
Australia,2018,Geothermal,43671.25946,15541.75995,9224431252,83247
Australia,2014,Biomass,71070.17983,21007.74069,5919068434,510179
Australia,2008,Wind,6594.356287,35714.75296,6280953116,968853
Australia,2000,Solar,64257.75461,7523.075579,5319923925,775624
Australia,2023,Hydro,47973.05053,42703.88002,128306528.9,374322
Australia,2007,Geothermal,43580.47389,38438.63909,2809893212,662482
Australia,2004,Biomass,1588.092786,7227.269585,4512642941,358419
Australia,2014,Biomass,28189.69977,48632.87375,9832844398,547411
Australia,2017,Geothermal,14890.69711,29498.09331,5410836284,310014
Australia,2000,Wind,28510.60229,32568.02596,405377310.8,738147
Australia,2000,Hydro,45880.71132,39832.48868,8545379706,168781
Australia,2023,Solar,98842.34209,30642.80619,2020208839,627849
Australia,2005,Hydro,73151.08498,5083.825946,2576953759,823959
Australia,2016,Hydro,61594.51986,48167.81887,9844826725,330324
Australia,2018,Hydro,14189.0113,22826.87929,8102407668,728040
Australia,2020,Hydro,94445.94068,22767.26334,9336505358,804710
Australia,2013,Solar,41873.26655,15923.79749,3981984488,668301
Australia,2020,Biomass,95883.87921,39275.4961,5965527960,862837
Australia,2022,Hydro,49533.54798,20949.94167,2340720947,439616
Australia,2015,Geothermal,69332.24807,37699.55946,366394565.4,376096
Australia,2015,Biomass,30020.93136,43196.40253,1261608293,624980
Australia,2007,Wind,68253.57242,25407.46114,4106642168,809616
Australia,2014,Solar,1389.694771,4162.20032,5909664608,110886
Australia,2005,Hydro,50575.87717,3949.324336,7221398394,596447
Australia,2017,Geothermal,78480.74166,25389.42954,8405769781,976441
Australia,2012,Solar,19019.7053,3035.543577,2624064979,839750
Australia,2019,Biomass,76797.47396,42958.81429,1631608816,503960
Australia,2004,Biomass,22583.52351,4196.538273,4771648215,257074
Australia,2002,Solar,27478.57787,18235.16328,7026598396,242817
Australia,2004,Hydro,16296.29071,18780.34955,8167146696,32699
Australia,2008,Solar,25603.03381,22468.70928,9921407899,277073
Australia,2019,Biomass,40230.8007,7328.732022,7324547436,124458
Australia,2021,Biomass,36098.25844,17118.64582,8881364676,644658
Australia,2006,Biomass,90149.40833,7759.766625,5603858411,711468
Australia,2013,Biomass,33035.92359,43668.78658,2800013435,216553
Australia,2012,Solar,26508.09198,295.097771,9925910192,119930
Australia,2010,Wind,62927.48269,24657.42256,6521124857,189575
Australia,2005,Biomass,49729.49114,13332.5665,6535538012,986052
Australia,2014,Wind,40743.28757,11055.63492,8818253966,544298
Australia,2002,Hydro,64211.45143,29899.01339,970816346.8,402417
Australia,2002,Solar,29658.97519,20175.90669,6899772821,750001
Australia,2022,Solar,35157.95594,24901.5663,4121673813,121198
Australia,2003,Solar,29215.14824,34812.747,1340178147,516092
Australia,2006,Hydro,53146.34639,47654.13662,4766772615,440737
Australia,2015,Geothermal,6728.688944,10094.36982,5206489653,705866
Australia,2001,Solar,92780.04356,27439.94361,2811582489,272022
Australia,2014,Hydro,12898.53228,22802.13809,1851645004,409161
Australia,2019,Hydro,16747.77292,47716.23142,6877185475,944115
Australia,2009,Hydro,45110.17516,36134.2796,7259697137,529123
Australia,2020,Wind,29796.18396,42999.34653,5123814859,255643
Australia,2018,Hydro,3681.916104,39896.79769,1988339755,75454
Australia,2007,Solar,59329.3346,6111.752983,7858042960,204967
Australia,2016,Wind,4471.172869,15483.78628,6552339493,249652
Australia,2001,Hydro,26667.14156,1678.329389,9163542988,398217
Australia,2017,Biomass,70456.99016,40516.71629,1909678634,999456
Australia,2010,Wind,93905.69021,46677.39974,1537473886,987493
Australia,2001,Biomass,32851.79558,18941.40517,3611636119,867533
Australia,2013,Wind,38747.06979,15916.37377,8939517787,103273
Australia,2011,Solar,70705.24619,21791.96534,425601447.3,181553
Australia,2007,Wind,90743.90738,30358.7421,9432044963,285969
Australia,2011,Geothermal,73075.97057,37413.68928,7280416549,917214
Australia,2005,Hydro,50893.57694,40247.82838,8862358963,436563
Australia,2017,Geothermal,78743.05512,46010.15862,522297633.4,924600
Australia,2001,Biomass,83987.49949,12248.38269,8456524050,411465
Australia,2016,Biomass,3664.30974,14076.0322,9435661483,183893
Australia,2001,Hydro,16808.72479,26940.35912,6993261223,825788
Australia,2008,Biomass,86807.62707,22419.58315,9983412968,555945
Australia,2009,Geothermal,53915.19148,825.5514609,5047067938,761528
Australia,2003,Biomass,11977.33302,8778.474463,659340145.8,327165
Australia,2016,Biomass,5815.217954,14805.69485,5601201686,239166
Australia,2009,Geothermal,33395.66215,32887.95794,9902785572,309634
Australia,2020,Wind,64842.97202,8474.584723,1693257001,792485
Australia,2011,Hydro,59120.65597,10496.42677,7082683341,764615
Australia,2016,Geothermal,22341.33498,12648.39651,3888844919,615460
Australia,2010,Hydro,50710.53512,12721.36173,6990764755,377144
Australia,2019,Geothermal,69585.50329,35043.81655,4261572388,771078
Australia,2002,Geothermal,94378.82921,48220.73913,2464056171,382304
Australia,2002,Hydro,4847.655677,21926.94618,3131715114,675626
Australia,2004,Biomass,31403.64569,37271.15238,748475597.8,526383
Australia,2017,Hydro,9454.189177,28506.75216,5602669394,692114
Brazil,2004,Geothermal,92392.05433,1451.957737,2450100983,460132
Brazil,2010,Solar,39491.78696,14223.86095,1472171372,884874
Brazil,2017,Geothermal,13680.98799,1494.780339,8076873411,479946
Brazil,2007,Geothermal,75518.88579,44242.36803,8424385584,921467
Brazil,2012,Wind,49778.1638,15586.83865,1196236036,947071
Brazil,2001,Wind,56404.93003,19590.35743,6949496693,185446
Brazil,2006,Geothermal,93695.63906,48813.41957,4512530779,407162
Brazil,2023,Hydro,90384.32863,31847.37115,1682133513,349738
Brazil,2002,Wind,7848.323007,35570.68503,9938619520,958210
